Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Purchased_Based_on_Recommendation,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,beauty and personal care,clothing and fashion,groceries and gourmet food,home and kitchen,others
2023-06-04 20:02:28-05:30,21,female,less than once a month,['beauty and personal care'],yes,few times a week,keyword,multiple pages,1,yes,often,changed my mind or no longer need the item,always,yes,heavily,yes,5,sometimes,3,1,user-friendly website/app interface,reducing packaging waste,1,0,0,0,0
2023-06-04 20:20:42-05:30,23,female,less than once a month,['others'],no,rarely,filter,first page,1,maybe,sometimes,high shipping costs,sometimes,no,heavily,yes,3,sometimes,3,3,user-friendly website/app interface,shipping speed and reliability,0,0,0,0,1
2023-06-04 20:45:45-05:30,21,female,less than once a month,['clothing and fashion'],no,few times a month,keyword,multiple pages,1,maybe,sometimes,others,never,no,heavily,yes,2,yes,2,1,wide product selection,shipping speed and reliability,0,1,0,0,0
2023-06-04 20:46:02-05:30,23,female,few times a month,"['beauty and personal care', 'home and kitchen']",sometimes,few times a month,keyword,multiple pages,1,yes,sometimes,high shipping costs,rarely,no,moderately,yes,2,sometimes,3,2,wide product selection,customer service responsiveness,1,0,0,1,0
2023-06-04 20:48:59-05:30,25,female,less than once a month,['beauty and personal care'],no,few times a week,keyword,multiple pages,1,yes,sometimes,found a better price elsewhere,rarely,no,heavily,yes,4,sometimes,3,2,wide product selection,product quality and accuracy,1,0,0,0,0
2023-06-04 20:49:49-05:30,64,male,once a week,['groceries and gourmet food'],no,few times a month,keyword,multiple pages,3,no,often,changed my mind or no longer need the item,never,no,occasionally,yes,2,yes,1,2,competitive prices,reducing packaging waste,0,0,1,0,0
2023-06-04 20:52:49-05:30,23,female,once a month,['clothing and fashion'],no,few times a month,others,first page,1,yes,sometimes,found a better price elsewhere,sometimes,no,heavily,yes,3,sometimes,3,2,user-friendly website/app interface,customer service responsiveness,0,1,0,0,0
2023-06-04 20:54:36-05:30,21,male,less than once a month,['others'],no,few times a week,others,multiple pages,1,yes,never,others,never,no,never,sometimes,3,sometimes,3,3,Not Provided,nothing,0,0,0,0,1
2023-06-04 21:10:51-05:30,23,female,few times a month,"['beauty and personal care', 'clothing and fashion', 'others']",no,few times a month,keyword,multiple pages,1,maybe,rarely,others,rarely,yes,heavily,yes,3,sometimes,1,1,competitive prices,customer service responsiveness,1,1,0,0,1
2023-06-04 21:18:12-05:30,24,female,multiple times a week,['groceries and gourmet food'],yes,few times a week,categories,multiple pages,1,maybe,rarely,changed my mind or no longer need the item,sometimes,yes,moderately,no,2,no,2,3,user-friendly website/app interface,product quality and accuracy,0,0,1,0,0
2023-06-04 21:22:58-05:30,22,female,less than once a month,"['beauty and personal care', 'clothing and fashion']",no,few times a week,keyword,multiple pages,1,yes,sometimes,found a better price elsewhere,often,no,heavily,yes,3,sometimes,2,2,wide product selection,shipping speed and reliability,1,1,0,0,0
2023-06-04 21:29:59-05:30,23,female,less than once a month,['beauty and personal care'],no,few times a month,categories,multiple pages,4,yes,sometimes,found a better price elsewhere,rarely,no,occasionally,sometimes,3,yes,3,5,wide product selection,reducing packaging waste,1,0,0,0,0
2023-06-04 21:40:54-05:30,23,female,few times a month,"['beauty and personal care', 'clothing and fashion', 'others']",sometimes,few times a week,categories,multiple pages,1,yes,often,others,often,no,heavily,yes,3,sometimes,2,2,user-friendly website/app interface,shipping speed and reliability,1,1,0,0,1
2023-06-04 21:48:15-05:30,24,female,less than once a month,['clothing and fashion'],yes,few times a month,keyword,multiple pages,4,yes,sometimes,found a better price elsewhere,rarely,no,occasionally,yes,4,yes,5,4,competitive prices,reducing packaging waste,0,1,0,0,0
2023-06-04 22:13:28-05:30,25,female,few times a month,"['groceries and gourmet food', 'clothing and fashion', 'others']",no,few times a week,keyword,multiple pages,5,yes,often,high shipping costs,never,yes,heavily,yes,2,sometimes,3,4,wide product selection,product quality and accuracy,0,1,1,0,1
2023-06-04 22:24:47-05:30,23,female,less than once a month,"['groceries and gourmet food', 'beauty and personal care', 'clothing and fashion', 'home and kitchen']",no,few times a week,keyword,first page,5,maybe,often,changed my mind or no longer need the item,always,no,heavily,yes,4,no,3,4,competitive prices,customer service responsiveness,1,1,1,1,0
2023-06-04 22:37:00-05:30,23,female,less than once a month,['others'],no,rarely,others,first page,3,no,never,others,never,no,occasionally,sometimes,5,no,3,3,wide product selection,product quality and accuracy,0,0,0,0,1
2023-06-04 23:09:27-05:30,23,female,less than once a month,"['groceries and gourmet food', 'beauty and personal care', 'clothing and fashion', 'home and kitchen']",yes,multiple times a day,keyword,multiple pages,1,yes,often,found a better price elsewhere,always,yes,heavily,yes,1,yes,2,1,wide product selection,reducing packaging waste,1,1,1,1,0
2023-06-04 23:12:15-05:30,23,male,multiple times a week,"['groceries and gourmet food', 'beauty and personal care', 'clothing and fashion', 'home and kitchen', 'others']",yes,few times a week,keyword,multiple pages,1,yes,often,found a better price elsewhere,rarely,yes,heavily,yes,3,yes,1,1,competitive prices,customer service responsiveness,1,1,1,1,1
2023-06-04 23:24:41-05:30,24,female,less than once a month,['others'],sometimes,multiple times a day,keyword,multiple pages,1,yes,rarely,found a better price elsewhere,rarely,yes,heavily,yes,3,sometimes,3,1,wide product selection,product quality and accuracy,0,0,0,0,1
2023-06-04 23:27:53-05:30,24,female,few times a month,"['beauty and personal care', 'clothing and fashion', 'home and kitchen']",no,multiple times a day,keyword,first page,4,yes,always,changed my mind or no longer need the item,often,no,occasionally,sometimes,2,yes,2,1,wide product selection,shipping speed and reliability,1,1,0,1,0
2023-06-04 23:38:30-05:30,23,female,less than once a month,"['beauty and personal care', 'home and kitchen']",sometimes,rarely,categories,multiple pages,1,maybe,often,found a better price elsewhere,rarely,no,moderately,yes,2,sometimes,2,2,wide product selection,reducing packaging waste,1,0,0,1,0
2023-06-04 23:57:10-05:30,29,male,once a month,['clothing and fashion'],sometimes,few times a week,categories,multiple pages,1,yes,often,changed my mind or no longer need the item,often,no,moderately,yes,2,yes,2,2,competitive prices,customer service responsiveness,0,1,0,0,0
2023-06-05 00:02:56-05:30,19,female,few times a month,['clothing and fashion'],yes,few times a week,keyword,multiple pages,5,yes,always,found a better price elsewhere,rarely,yes,rarely,yes,3,yes,3,5,competitive prices,shipping speed and reliability,0,1,0,0,0
2023-06-05 00:05:20-05:30,26,female,less than once a month,['others'],yes,few times a month,keyword,multiple pages,1,yes,sometimes,high shipping costs,sometimes,yes,moderately,yes,1,yes,2,2,competitive prices,product quality and accuracy,0,0,0,0,1
2023-06-05 00:36:02-05:30,32,male,less than once a month,['others'],no,rarely,keyword,first page,1,no,always,changed my mind or no longer need the item,never,no,moderately,yes,1,no,4,1,customer service,nothing,0,0,0,0,1
2023-06-05 00:37:54-05:30,30,female,once a month,['home and kitchen'],no,few times a month,filter,multiple pages,2,yes,sometimes,found a better price elsewhere,often,yes,moderately,yes,1,no,4,1,user-friendly website/app interface,reducing packaging waste,0,0,0,1,0
2023-06-05 00:39:14-05:30,22,female,less than once a month,"['beauty and personal care', 'others']",no,few times a month,others,multiple pages,1,yes,rarely,found a better price elsewhere,often,no,moderately,sometimes,5,yes,3,2,user-friendly website/app interface,product quality and accuracy,1,0,0,0,1
2023-06-05 00:57:05-05:30,26,female,few times a month,"['beauty and personal care', 'clothing and fashion']",yes,multiple times a day,categories,multiple pages,1,yes,sometimes,high shipping costs,never,yes,moderately,no,2,yes,2,2,user-friendly website/app interface,shipping speed and reliability,1,1,0,0,0
2023-06-05 02:56:10-05:30,24,female,less than once a month,"['beauty and personal care', 'clothing and fashion']",no,few times a week,keyword,multiple pages,1,yes,always,high shipping costs,always,yes,heavily,yes,1,yes,1,1,wide product selection,customer service responsiveness,1,1,0,0,0
2023-06-05 04:26:25-05:30,23,female,few times a month,"['beauty and personal care', 'clothing and fashion', 'home and kitchen']",yes,few times a month,keyword,multiple pages,5,yes,sometimes,high shipping costs,always,no,heavily,yes,4,yes,4,4,wide product selection,product quality and accuracy,1,1,0,1,0
2023-06-05 07:16:40-05:30,24,female,less than once a month,['clothing and fashion'],sometimes,few times a month,filter,multiple pages,3,maybe,rarely,changed my mind or no longer need the item,sometimes,no,occasionally,sometimes,3,sometimes,3,3,product recommendations,product quality and accuracy,0,1,0,0,0
2023-06-05 08:43:26-05:30,23,female,few times a month,['others'],no,few times a week,keyword,multiple pages,1,yes,sometimes,found a better price elsewhere,always,no,heavily,yes,4,sometimes,3,3,wide product selection,product quality and accuracy,0,0,0,0,1
2023-06-05 09:20:17-05:30,24,male,few times a month,['clothing and fashion'],no,few times a month,keyword,multiple pages,1,yes,always,changed my mind or no longer need the item,often,no,heavily,yes,1,yes,1,2,user-friendly website/app interface,product quality and accuracy,0,1,0,0,0
2023-06-05 09:56:58-05:30,23,female,once a month,"['beauty and personal care', 'home and kitchen']",no,few times a month,keyword,multiple pages,1,yes,rarely,changed my mind or no longer need the item,never,no,heavily,yes,5,no,4,3,competitive prices,customer service responsiveness,1,0,0,1,0
2023-06-05 10:36:38-05:30,25,male,less than once a month,['others'],sometimes,few times a week,keyword,first page,4,yes,often,changed my mind or no longer need the item,often,yes,heavily,yes,3,sometimes,3,3,wide product selection,product quality and accuracy,0,0,0,0,1
2023-06-05 10:37:36-05:30,24,female,less than once a month,"['beauty and personal care', 'clothing and fashion']",no,few times a month,keyword,multiple pages,1,yes,often,found a better price elsewhere,rarely,no,heavily,yes,1,yes,2,2,user-friendly website/app interface,shipping speed and reliability,1,1,0,0,0
2023-06-05 10:53:16-05:30,21,female,few times a month,['home and kitchen'],no,few times a month,keyword,first page,1,yes,rarely,changed my mind or no longer need the item,often,yes,heavily,yes,1,sometimes,3,1,user-friendly website/app interface,reducing packaging waste,0,0,0,1,0
2023-06-05 11:20:41-05:30,23,female,less than once a month,['clothing and fashion'],no,few times a month,keyword,multiple pages,1,maybe,rarely,changed my mind or no longer need the item,never,no,moderately,yes,3,sometimes,3,3,wide product selection,reducing packaging waste,0,1,0,0,0
2023-06-05 11:54:52-05:30,26,female,less than once a month,"['beauty and personal care', 'home and kitchen']",no,rarely,filter,multiple pages,1,maybe,sometimes,high shipping costs,sometimes,yes,heavily,yes,4,yes,2,2,product recommendations,shipping speed and reliability,1,0,0,1,0
2023-06-05 13:10:59-05:30,23,female,few times a month,"['clothing and fashion', 'others']",yes,few times a week,keyword,first page,1,yes,sometimes,found a better price elsewhere,sometimes,yes,moderately,yes,1,sometimes,3,2,wide product selection,product quality and accuracy,0,1,0,0,1
2023-06-05 13:27:08-05:30,23,female,few times a month,"['beauty and personal care', 'clothing and fashion']",yes,few times a month,keyword,multiple pages,4,yes,sometimes,high shipping costs,sometimes,yes,heavily,yes,3,no,3,3,product recommendations,reducing packaging waste,1,1,0,0,0
2023-06-05 13:28:44-05:30,40,male,few times a month,"['beauty and personal care', 'home and kitchen']",no,few times a week,keyword,multiple pages,1,yes,often,changed my mind or no longer need the item,never,yes,heavily,yes,4,sometimes,2,1,competitive prices,reducing packaging waste,1,0,0,1,0
2023-06-05 13:32:57-05:30,25,female,once a month,['beauty and personal care'],sometimes,few times a month,categories,multiple pages,5,maybe,sometimes,found a better price elsewhere,often,no,moderately,sometimes,3,sometimes,3,3,wide product selection,customer service responsiveness,1,0,0,0,0
2023-06-05 13:35:41-05:30,24,male,once a month,['others'],sometimes,few times a week,keyword,multiple pages,4,yes,sometimes,changed my mind or no longer need the item,sometimes,yes,moderately,sometimes,4,sometimes,1,2,wide product selection,shipping speed and reliability,0,0,0,0,1
2023-06-05 13:35:44-05:30,23,female,less than once a month,"['beauty and personal care', 'clothing and fashion', 'home and kitchen']",no,few times a month,keyword,first page,4,yes,sometimes,changed my mind or no longer need the item,sometimes,yes,rarely,sometimes,3,sometimes,3,3,user-friendly website/app interface,product quality and accuracy,1,1,0,1,0
2023-06-05 13:37:01-05:30,24,male,less than once a month,['others'],sometimes,few times a month,keyword,multiple pages,1,yes,sometimes,found a better price elsewhere,never,yes,heavily,yes,2,yes,3,2,user-friendly website/app interface,shipping speed and reliability,0,0,0,0,1
2023-06-05 13:43:00-05:30,24,male,less than once a month,['others'],no,few times a week,categories,multiple pages,1,maybe,never,changed my mind or no longer need the item,rarely,no,heavily,yes,3,sometimes,3,3,wide product selection,product quality and accuracy,0,0,0,0,1
2023-06-05 13:45:30-05:30,24,female,less than once a month,"['beauty and personal care', 'clothing and fashion']",sometimes,few times a month,categories,first page,3,maybe,sometimes,changed my mind or no longer need the item,sometimes,no,occasionally,sometimes,3,yes,3,3,product recommendations,customer service responsiveness,1,1,0,0,0
2023-06-05 13:54:28-05:30,26,male,few times a month,['others'],no,few times a week,keyword,multiple pages,4,yes,often,changed my mind or no longer need the item,rarely,yes,occasionally,yes,3,yes,3,4,competitive prices,product quality and accuracy,0,0,0,0,1
2023-06-05 14:10:33-05:30,23,female,few times a month,"['beauty and personal care', 'home and kitchen', 'others']",sometimes,few times a month,categories,first page,1,yes,sometimes,found a better price elsewhere,often,no,heavily,yes,2,sometimes,3,3,wide product selection,product quality and accuracy,1,0,0,1,1
2023-06-05 14:16:16-05:30,23,female,few times a month,"['beauty and personal care', 'clothing and fashion', 'home and kitchen']",no,few times a week,categories,multiple pages,1,yes,sometimes,changed my mind or no longer need the item,never,no,heavily,yes,3,sometimes,3,1,wide product selection,product quality and accuracy,1,1,0,1,0
2023-06-05 14:17:45-05:30,24,female,once a month,['others'],sometimes,few times a week,keyword,multiple pages,1,yes,sometimes,found a better price elsewhere,sometimes,yes,occasionally,yes,3,yes,3,2,user-friendly website/app interface,product quality and accuracy,0,0,0,0,1
2023-06-05 14:21:37-05:30,23,male,less than once a month,['others'],no,few times a month,keyword,first page,1,maybe,rarely,high shipping costs,never,no,moderately,sometimes,3,sometimes,3,3,wide product selection,better app interface and lower shipping charges,0,0,0,0,1
2023-06-05 14:24:22-05:30,24,female,less than once a month,"['beauty and personal care', 'clothing and fashion']",yes,few times a month,keyword,multiple pages,1,yes,often,changed my mind or no longer need the item,often,yes,moderately,yes,1,yes,2,2,competitive prices,product quality and accuracy,1,1,0,0,0
2023-06-05 14:25:28-05:30,36,female,once a month,"['home and kitchen', 'others']",sometimes,multiple times a day,keyword,multiple pages,5,yes,often,changed my mind or no longer need the item,never,yes,heavily,no,2,sometimes,3,1,user-friendly website/app interface,shipping speed and reliability,0,0,0,1,1
2023-06-05 14:28:10-05:30,26,male,less than once a month,['home and kitchen'],no,rarely,filter,multiple pages,1,yes,sometimes,found a better price elsewhere,sometimes,yes,moderately,yes,1,yes,2,1,wide product selection,product quality and accuracy,0,0,0,1,0
2023-06-05 14:46:25-05:30,31,male,once a month,"['home and kitchen', 'others']",no,few times a month,keyword,first page,1,yes,sometimes,changed my mind or no longer need the item,often,no,heavily,yes,4,sometimes,3,1,customer service,reducing packaging waste,0,0,0,1,1
2023-06-05 15:28:01-05:30,23,male,less than once a month,['others'],no,rarely,categories,multiple pages,1,maybe,often,found a better price elsewhere,never,no,heavily,yes,2,no,3,2,user-friendly website/app interface,reducing packaging waste,0,0,0,0,1
2023-06-05 16:46:52-05:30,23,female,less than once a month,['home and kitchen'],yes,few times a month,keyword,multiple pages,1,yes,sometimes,changed my mind or no longer need the item,rarely,no,heavily,yes,3,yes,2,2,wide product selection,product quality and accuracy,0,0,0,1,0
2023-06-05 16:49:43-05:30,30,male,once a week,"['groceries and gourmet food', 'home and kitchen']",yes,few times a week,filter,multiple pages,4,yes,often,found a better price elsewhere,always,yes,moderately,yes,4,yes,4,4,product recommendations,customer service responsiveness,0,0,1,1,0
2023-06-05 16:50:33-05:30,24,female,less than once a month,['others'],no,rarely,categories,multiple pages,2,yes,sometimes,found a better price elsewhere,often,no,moderately,yes,2,sometimes,2,2,wide product selection,product quality and accuracy,0,0,0,0,1
2023-06-05 16:50:44-05:30,47,prefer not to say,less than once a month,['others'],sometimes,rarely,others,first page,2,maybe,never,changed my mind or no longer need the item,never,no,never,sometimes,2,no,2,2,user-friendly website/app interface,shipping speed and reliability,0,0,0,0,1
2023-06-05 16:52:12-05:30,54,others,multiple times a week,"['groceries and gourmet food', 'beauty and personal care', 'clothing and fashion', 'home and kitchen', 'others']",yes,multiple times a day,categories,multiple pages,4,yes,always,others,always,yes,heavily,yes,5,yes,5,5,competitive prices,shipping speed and reliability,1,1,1,1,1
2023-06-05 18:49:25-05:30,58,male,once a month,"['clothing and fashion', 'others']",no,few times a week,keyword,multiple pages,5,yes,sometimes,changed my mind or no longer need the item,never,no,never,no,4,no,3,3,competitive prices,reducing packaging waste,0,1,0,0,1
2023-06-05 19:04:21-05:30,53,female,less than once a month,['home and kitchen'],no,few times a week,keyword,multiple pages,3,no,rarely,changed my mind or no longer need the item,never,no,moderately,yes,2,yes,2,1,competitive prices,reducing packaging waste,0,0,0,1,0
2023-06-05 20:06:04-05:30,23,prefer not to say,once a week,['beauty and personal care'],no,multiple times a day,categories,multiple pages,5,maybe,sometimes,found a better price elsewhere,sometimes,yes,occasionally,sometimes,3,sometimes,3,3,product recommendations,reducing packaging waste,1,0,0,0,0
2023-06-05 20:07:52-05:30,25,others,few times a month,"['groceries and gourmet food', 'clothing and fashion']",yes,few times a week,filter,multiple pages,5,maybe,never,changed my mind or no longer need the item,sometimes,yes,occasionally,sometimes,4,sometimes,3,3,product recommendations,customer service responsiveness,0,1,1,0,0
2023-06-05 20:44:09-05:30,23,female,less than once a month,['beauty and personal care'],no,rarely,categories,multiple pages,1,maybe,rarely,found a better price elsewhere,rarely,no,occasionally,yes,2,sometimes,3,2,user-friendly website/app interface,shipping speed and reliability,1,0,0,0,0
2023-06-05 20:46:09-05:30,32,male,less than once a month,"['clothing and fashion', 'home and kitchen']",sometimes,few times a week,categories,first page,4,maybe,rarely,changed my mind or no longer need the item,rarely,no,moderately,sometimes,4,sometimes,4,4,user-friendly website/app interface,customer service responsiveness,0,1,0,1,0
2023-06-05 20:47:42-05:30,30,prefer not to say,few times a month,"['beauty and personal care', 'clothing and fashion']",yes,few times a week,filter,multiple pages,5,yes,often,others,always,yes,heavily,yes,5,sometimes,5,3,competitive prices,product quality and accuracy,1,1,0,0,0
2023-06-05 20:49:12-05:30,28,others,few times a month,"['groceries and gourmet food', 'beauty and personal care', 'clothing and fashion', 'home and kitchen', 'others']",no,few times a month,keyword,multiple pages,3,no,never,high shipping costs,never,yes,occasionally,no,4,no,4,3,competitive prices,shipping speed and reliability,1,1,1,1,1
2023-06-05 20:50:24-05:30,20,female,multiple times a week,"['beauty and personal care', 'clothing and fashion']",no,multiple times a day,categories,first page,1,no,often,found a better price elsewhere,often,no,occasionally,sometimes,3,no,3,3,competitive prices,reducing packaging waste,1,1,0,0,0
2023-06-05 20:52:01-05:30,25,male,few times a month,['others'],no,rarely,others,multiple pages,1,maybe,sometimes,changed my mind or no longer need the item,never,no,moderately,sometimes,2,sometimes,2,3,wide product selection,product quality and accuracy,0,0,0,0,1
2023-06-05 21:56:02-05:30,55,others,few times a month,['groceries and gourmet food'],yes,multiple times a day,keyword,multiple pages,3,yes,sometimes,high shipping costs,often,yes,rarely,yes,4,yes,3,3,product recommendations,customer service responsiveness,0,0,1,0,0
2023-06-05 21:56:08-05:30,24,female,once a month,"['beauty and personal care', 'home and kitchen', 'others']",no,few times a week,keyword,multiple pages,2,yes,rarely,high shipping costs,always,yes,moderately,yes,4,sometimes,3,4,wide product selection,product quality and accuracy,1,0,0,1,1
2023-06-05 21:58:17-05:30,62,female,less than once a month,['beauty and personal care'],sometimes,rarely,filter,multiple pages,3,maybe,sometimes,found a better price elsewhere,often,no,never,sometimes,5,yes,4,3,user-friendly website/app interface,shipping speed and reliability,1,0,0,0,0
2023-06-05 22:04:32-05:30,27,male,less than once a month,['others'],no,rarely,others,first page,4,no,never,others,never,no,never,no,5,no,5,5,competitive prices,customer service responsiveness,0,0,0,0,1
2023-06-05 22:05:25-05:30,34,prefer not to say,few times a month,"['beauty and personal care', 'clothing and fashion']",sometimes,few times a month,categories,first page,3,maybe,sometimes,found a better price elsewhere,rarely,no,occasionally,no,4,yes,2,2,wide product selection,product quality and accuracy,1,1,0,0,0
2023-06-05 22:06:15-05:30,40,female,once a week,"['beauty and personal care', 'clothing and fashion', 'home and kitchen']",sometimes,few times a week,categories,multiple pages,2,maybe,often,found a better price elsewhere,often,yes,occasionally,sometimes,2,no,2,2,competitive prices,shipping speed and reliability,1,1,0,1,0
2023-06-05 22:06:46-05:30,22,others,less than once a month,['others'],yes,few times a month,categories,multiple pages,4,maybe,often,found a better price elsewhere,rarely,yes,rarely,no,3,no,3,4,user-friendly website/app interface,reducing packaging waste,0,0,0,0,1
2023-06-05 22:07:31-05:30,34,prefer not to say,few times a month,"['clothing and fashion', 'home and kitchen']",no,few times a month,categories,first page,3,yes,often,found a better price elsewhere,often,yes,heavily,yes,1,sometimes,2,2,user-friendly website/app interface,product quality and accuracy,0,1,0,1,0
2023-06-05 22:07:33-05:30,24,female,less than once a month,"['beauty and personal care', 'home and kitchen']",no,few times a week,keyword,multiple pages,1,yes,sometimes,found a better price elsewhere,never,no,heavily,yes,1,sometimes,3,1,user-friendly website/app interface,product quality and accuracy,1,0,0,1,0
2023-06-05 22:08:15-05:30,44,male,few times a month,"['clothing and fashion', 'others']",no,few times a month,categories,first page,5,no,rarely,changed my mind or no longer need the item,sometimes,no,never,sometimes,2,yes,3,2,product recommendations,customer service responsiveness,0,1,0,0,1
2023-06-05 22:09:03-05:30,31,female,once a month,"['home and kitchen', 'others']",sometimes,rarely,others,multiple pages,4,no,never,changed my mind or no longer need the item,often,yes,never,sometimes,5,no,4,2,user-friendly website/app interface,reducing packaging waste,0,0,0,1,1
2023-06-06 08:46:03-05:30,23,female,once a week,['clothing and fashion'],sometimes,few times a week,categories,multiple pages,5,no,rarely,others,sometimes,no,occasionally,sometimes,3,yes,3,3,product recommendations,product quality and accuracy,0,1,0,0,0
2023-06-06 09:37:33-05:30,23,female,less than once a month,"['beauty and personal care', 'others']",sometimes,few times a month,keyword,multiple pages,1,yes,sometimes,changed my mind or no longer need the item,rarely,no,heavily,yes,2,yes,2,1,wide product selection,reducing packaging waste,1,0,0,0,1
2023-06-06 09:39:32-05:30,22,female,less than once a month,"['clothing and fashion', 'home and kitchen']",no,few times a week,keyword,multiple pages,5,yes,sometimes,found a better price elsewhere,never,no,heavily,yes,5,sometimes,2,3,competitive prices,customer service responsiveness,0,1,0,1,0
2023-06-06 09:45:55-05:30,24,female,once a week,"['beauty and personal care', 'clothing and fashion', 'home and kitchen']",sometimes,few times a week,keyword,multiple pages,1,yes,often,found a better price elsewhere,always,yes,heavily,yes,1,yes,1,1,wide product selection,customer service responsiveness,1,1,0,1,0
2023-06-06 09:47:31-05:30,23,prefer not to say,once a week,"['beauty and personal care', 'clothing and fashion', 'home and kitchen']",yes,multiple times a day,keyword,multiple pages,1,yes,often,found a better price elsewhere,always,yes,heavily,yes,1,yes,1,1,wide product selection,customer service responsiveness,1,1,0,1,0
2023-06-06 09:59:35-05:30,25,male,less than once a month,['others'],yes,few times a month,keyword,multiple pages,5,yes,rarely,others,never,no,moderately,yes,3,sometimes,3,3,wide product selection,customer service responsiveness,0,0,0,0,1
